episode,reward
121,-12888.434859623772
122,-13138.480329294838
123,-12574.517822458422
124,-12636.846567854078
125,-12511.765906425584
126,-12941.917263745056
127,-13357.556007954576
128,-13113.967716184889
129,-12452.70667294148
130,-13038.94248996497
131,-12747.961236546773
132,-12913.4046506351
133,-12549.821341634168
134,-12980.156566667943
135,-12765.354198195275
136,-12728.841585085322
137,-12955.917263745063
138,-12430.740680205683
139,-13071.455103074924
140,-12988.429876855023
141,-12797.866811305232
142,-12823.86681130524
143,-13351.556007954576
144,-12200.968520721695
145,-12848.379424415192
146,-12694.328971975376
147,-12779.354198195286
148,-12641.54304867834
149,-12361.715453985775
150,-12980.429876855018
151,-12955.917263745057
152,-13355.556007954576
153,-12379.715453985775
154,-13168.992942404793
155,-12676.936010326852
156,-12765.77736883246
157,-13018.94248996497
158,-12943.917263745056
159,-13150.71963221772
160,-13022.94248996497
161,-12505.765906425588
162,-11728.454410742357
163,-12803.866811305237
164,-12208.968520721673
165,-12558.278519535545
166,-13095.967716184881
167,-12876.892037525144
168,-12591.637473919862
169,-13099.967716184881
170,-13351.556007954576
171,-12696.328971975376
172,-12778.657717371017
173,-13176.992942404797
174,-12801.866811305232
175,-12745.08088800821
176,-12365.715453985766
177,-12803.866811305232
178,-12355.44214379869
179,-13028.94248996497
180,-13361.556007954576
181,-12811.866811305234
182,-12866.195556700886
183,-12879.315208162336
184,-13182.992942404795
185,-13367.556007954574
186,-13136.480329294845
187,-12842.3794244152
188,-12955.917263745056
189,-13333.043394844619
190,-13136.48032929484
191,-12811.86681130523
192,-13180.992942404797
193,-13254.018168624705
194,-12990.429876855018
195,-12770.473849656724
196,-12998.429876855012
197,-12509.765906425591
198,-12637.303745755464
199,-12943.220782920798
200,-12769.354198195275
201,-13248.018168624707
202,-13055.455103074924
203,-12807.866811305235
204,-13012.246009140714
205,-13134.480329294845
206,-12947.91726374506
207,-12737.961236546767
208,-12761.354198195277
209,-13136.480329294838
210,-12556.27851953554
211,-13282.530781734666
212,-12761.354198195284
213,-13150.480329294836
214,-13024.94248996497
215,-12550.701690172724
216,-12943.917263745056
217,-12915.4046506351
218,-12542.278519535543
219,-12458.979983128558
220,-13353.556007954576
221,-12838.802595052377
222,-13369.556007954576
223,-12945.404650635108
224,-12809.866811305232
225,-13325.043394844619
226,-12982.429876855018
227,-13207.50555551475
228,-13069.455103074924
229,-12800.289981942416
230,-13319.043394844619
231,-13176.9929424048
232,-12925.404650635102
233,-12625.303745755456
234,-12473.67646395281
235,-12949.917263745063
236,-13182.992942404799
237,-13085.694405997809
238,-13055.455103074935
239,-12617.30374575546
240,-12389.531586271472
241,-12714.145104261066
242,-12739.264755722503
243,-12888.011688986588
244,-13028.94248996497
245,-12851.922246513815
246,-12613.726916392643
247,-12493.492596238515
248,-12949.91726374506
249,-12734.841585085325
250,-12982.429876855025
251,-13038.94248996498
252,-12408.22806709573
253,-12381.95475690865
254,-12584.094651821237
255,-12396.228067095715
256,-12734.841585085325
257,-13142.480329294845
258,-13018.94248996497
259,-13282.530781734662
260,-12619.303745755464
261,-13016.94248996497
262,-13367.556007954574
263,-13132.480329294845
264,-12100.550332853258
265,-12890.892037525144
266,-13020.94248996497
267,-13168.992942404797
268,-13319.04339484462
269,-12882.892037525144
270,-12769.354198195286
271,-13030.942489964973
272,-13015.788831239339
273,-12943.917263745063
274,-13361.556007954576
275,-13166.9929424048
276,-12988.429876855012
277,-12283.11339840304
278,-13254.018168624705
279,-13365.556007954576
280,-12994.429876855012
281,-13347.556007954576
282,-13359.556007954576
283,-13124.480329294838
284,-12346.288485073057
285,-13101.967716184889
286,-12861.041897975261
287,-13099.967716184881
288,-13032.942489964971
289,-12969.733396030755
290,-12821.409633403857
291,-12957.917263745056
292,-13022.94248996497
293,-13355.556007954576
294,-13055.87827371211
295,-12479.253293315634
296,-12371.715453985764
297,-12213.66500154594
298,-12663.81635886543
299,-12576.094651821237
300,-12655.816358865415
301,-13211.505555514756
302,-13008.429876855016
303,-13272.530781734662
304,-12911.827821272293
305,-12986.429876855012
306,-12945.40465063511
307,-12197.391691358867
308,-12982.429876855012
309,-13065.455103074932
310,-13140.480329294838
311,-12479.25329331564
312,-12874.892037525147
313,-13363.556007954574
314,-13101.967716184887
315,-13028.942489964977
316,-13166.992942404793
317,-12919.827821272283
318,-13124.480329294838
319,-13217.505555514752
320,-12947.917263745057
321,-13351.556007954576
322,-12544.278519535537
323,-13280.530781734662
324,-13349.556007954576
325,-12949.917263745057
326,-13240.01816862471
327,-12557.398170996987
328,-12698.328971975368
329,-12332.322492337247
330,-12562.517822458432
331,-12911.404650635104
332,-13357.556007954576
333,-13013.549528316455
334,-12694.05566178829
335,-13101.967716184881
336,-12761.354198195275
337,-13357.556007954576
338,-12947.917263745057
339,-12763.35419819528
340,-13132.480329294838
341,-12986.429876855012
342,-12341.202840875803
343,-13359.556007954576
344,-13213.505555514752
345,-13097.967716184881
346,-12584.791132645498
347,-12801.866811305235
348,-13111.967716184881
349,-13105.96771618489
350,-13085.45510307493
351,-12730.841585085327
352,-12982.429876855016
353,-13130.48032929484
354,-13128.480329294845
355,-13192.992942404799
356,-13353.556007954576
357,-12919.4046506351
358,-13349.556007954576
359,-12763.354198195277
360,-13282.530781734662
361,-12445.587021480038
362,-12953.91726374506
363,-12730.841585085329
364,-13168.992942404793
365,-12425.313711292969
366,-12486.79611541426
367,-13095.967716184883
368,-13335.043394844619
369,-12990.429876855022
370,-12580.7911326455
371,-13357.556007954576
372,-12878.892037525153
373,-12769.354198195275
374,-13146.480329294845
375,-13095.967716184887
376,-12765.354198195282
377,-12992.429876855014
378,-12986.429876855016
379,-12994.429876855012
380,-12909.404650635104
381,-12874.892037525147
382,-13369.556007954576
383,-12935.404650635099
384,-12945.917263745061
385,-12955.917263745063
386,-12434.740680205676
387,-13067.455103074932
388,-13209.505555514754
389,-13172.992942404797
390,-13099.967716184889
391,-13184.992942404793
392,-12911.827821272289
393,-12235.207823644574
394,-12949.917263745056
395,-13059.455103074935
396,-12805.866811305234
397,-13020.94248996497
398,-13174.992942404793
399,-13351.556007954576
400,-12930.524302096543
401,-13349.556007954576
402,-13044.062141426417
403,-12153.759426787472
404,-13363.556007954576
405,-12959.917263745063
406,-12832.802595052375
407,-12361.715453985762
408,-12145.486116600408
409,-12657.816358865424
410,-12448.283502304297
411,-13182.992942404799
412,-13242.01816862471
413,-12728.841585085325
414,-13059.455103074935
415,-12494.79611541425
416,-12629.303745755462
417,-13093.967716184889
418,-12726.841585085323
