episode,reward
196,-12842.379424415196
197,-13164.992942404795
198,-13195.928726151935
199,-13355.556007954576
200,-13242.018168624707
201,-13375.556007954576
202,-13132.480329294838
203,-13270.530781734662
204,-13351.556007954576
205,-13160.9929424048
206,-13197.50555551475
207,-12949.917263745057
208,-13343.556007954576
209,-12778.897020293902
210,-13166.992942404793
211,-13351.556007954576
212,-13361.556007954576
213,-12982.429876855012
214,-13379.556007954574
215,-13316.530781734662
216,-13201.50555551475
217,-13097.96771618489
218,-13351.556007954576
219,-13307.043394844619
220,-13164.992942404795
221,-12947.91726374506
222,-13343.556007954576
223,-12913.4046506351
224,-13397.556007954574
225,-13035.365660602152
226,-13168.992942404797
227,-12943.917263745057
228,-13240.018168624707
229,-13144.480329294836
230,-13095.967716184883
231,-13345.556007954576
232,-13345.556007954576
233,-13347.556007954576
234,-13345.556007954576
235,-13164.992942404795
236,-13142.480329294836
237,-13164.480329294838
238,-13349.556007954576
239,-13315.043394844619
240,-13315.04339484462
241,-13309.04339484462
242,-13170.992942404797
243,-13282.530781734664
244,-13276.530781734662
245,-13343.556007954576
246,-13270.530781734662
247,-13307.043394844619
248,-13130.480329294838
249,-13248.018168624707
250,-13278.530781734662
251,-13205.50555551475
252,-13164.992942404799
253,-13240.018168624707
254,-12797.866811305235
255,-13124.480329294838
256,-13156.296461580538
257,-13345.556007954576
258,-13272.530781734662
259,-13351.556007954576
260,-13199.928726151935
261,-13018.94248996498
262,-13051.455103074924
263,-13351.556007954576
264,-13242.018168624709
265,-13197.50555551475
266,-13276.530781734662
267,-13359.556007954576
268,-13309.043394844619
269,-12984.429876855012
270,-13079.694405997809
271,-12890.43485962377
272,-13377.556007954576
273,-13126.480329294842
274,-12911.404650635106
275,-12735.264755722508
276,-13093.967716184881
277,-12704.328971975374
278,-13262.018168624707
279,-13345.556007954576
280,-12913.4046506351
281,-13355.556007954576
282,-13087.967716184881
283,-13238.018168624707
284,-13203.50555551475
285,-13343.556007954576
286,-13209.50555551475
287,-13272.530781734662
288,-13288.530781734666
289,-13347.556007954576
290,-13311.043394844619
291,-13274.530781734662
292,-13234.018168624707
293,-13272.018168624709
294,-13319.043394844619
295,-13272.530781734662
296,-13207.505555514754
297,-13280.530781734662
298,-13280.530781734662
299,-13307.043394844619
300,-13347.556007954576
301,-13089.967716184881
302,-13323.043394844619
303,-12980.42987685502
304,-13349.556007954576
305,-13276.530781734662
306,-13199.50555551475
307,-13282.530781734662
308,-13274.530781734662
309,-13136.480329294838
310,-13244.625206976192
311,-13313.043394844619
312,-13347.556007954576
313,-13343.556007954576
314,-13201.50555551475
315,-13351.556007954576
316,-13353.556007954576
317,-13203.50555551475
318,-13205.505555514754
319,-13343.556007954576
320,-13276.530781734662
321,-12782.016671755344
322,-13349.556007954576
323,-13303.137820086147
324,-13317.04339484462
325,-13172.992942404795
326,-13343.556007954576
327,-13272.530781734662
328,-13276.530781734662
329,-13347.556007954576
330,-13099.967716184883
331,-13095.967716184889
332,-13172.992942404793
333,-13309.04339484462
334,-13093.967716184881
335,-13128.480329294838
336,-13353.556007954576
337,-13345.556007954576
338,-13282.530781734662
339,-13349.556007954576
340,-13325.043394844619
341,-12834.10611422812
342,-13351.556007954576
343,-13140.480329294842
344,-13288.530781734662
345,-13238.018168624707
346,-13089.967716184889
347,-13164.992942404795
348,-13238.018168624707
349,-12978.429876855014
350,-13343.556007954576
351,-13166.992942404793
352,-13343.556007954576
353,-13095.967716184883
354,-13103.967716184883
355,-13097.967716184881
356,-13246.018168624707
357,-13278.530781734662
358,-12451.403153765737
359,-13345.556007954576
360,-13022.94248996497
361,-13345.556007954576
362,-13087.967716184881
363,-13357.556007954576
364,-13093.967716184881
365,-13242.018168624707
366,-13270.530781734662
367,-13209.50555551475
368,-13240.018168624707
369,-13345.556007954576
370,-13238.018168624707
371,-12836.379424415192
372,-13242.018168624707
373,-13343.556007954576
374,-12621.303745755462
375,-13343.556007954576
376,-13201.50555551475
377,-13306.530781734662
378,-13353.556007954576
379,-13353.556007954576
380,-12840.379424415192
381,-13311.04339484462
382,-13168.992942404795
383,-13234.018168624709
384,-13345.556007954576
385,-13313.04339484462
386,-13240.018168624707
387,-13347.556007954576
388,-13351.556007954576
389,-13351.556007954576
390,-13130.480329294842
391,-13403.556007954574
392,-13101.967716184881
393,-13089.967716184881
394,-13207.50555551475
395,-13020.94248996497
396,-13213.505555514752
397,-13280.530781734662
398,-12984.429876855016
399,-13164.992942404797
400,-13280.530781734662
401,-13016.669179777897
402,-13135.59998075628
403,-13309.043394844619
404,-13355.556007954576
405,-13353.556007954576
406,-13093.967716184881
407,-12854.618727338073
408,-13197.50555551475
409,-13091.967716184887
410,-13351.556007954576
411,-13194.112593866235
412,-13176.992942404795
413,-13234.018168624707
414,-13345.556007954576
415,-13168.992942404795
416,-13347.556007954576
417,-12947.917263745061
418,-13282.530781734662
419,-13347.556007954576
420,-13236.018168624707
421,-13055.45510307493
422,-13345.556007954576
423,-13132.480329294838
424,-12980.429876855012
425,-13199.505555514756
426,-13276.530781734662
427,-13307.043394844619
428,-12975.036915206501
429,-13162.992942404793
430,-13130.480329294842
431,-13343.556007954576
432,-12515.765906425588
433,-13278.530781734662
434,-13199.50555551475
435,-13345.556007954576
436,-13097.967716184885
437,-13051.455103074928
438,-13315.043394844619
439,-13128.480329294838
440,-13168.992942404793
441,-12931.220782920806
442,-13311.043394844619
443,-13091.967716184885
444,-13240.018168624707
445,-13162.992942404793
446,-13351.556007954576
447,-13099.967716184881
448,-13203.50555551475
449,-13166.992942404797
450,-13130.480329294838
451,-13345.556007954576
452,-13345.556007954576
453,-13097.967716184881
454,-13166.71963221772
455,-13357.556007954576
456,-13063.455103074926
457,-13236.01816862471
458,-13246.018168624707
459,-13174.992942404795
460,-13353.556007954576
461,-13347.556007954576
462,-13345.556007954576
463,-13234.018168624707
464,-13347.556007954576
465,-13347.556007954576
466,-13345.556007954576
467,-13162.992942404793
468,-12874.892037525145
469,-13024.942489964973
470,-13072.574754536367
471,-13286.018168624709
472,-13168.992942404793
473,-13201.505555514752
474,-13278.530781734662
475,-13053.455103074932
476,-13345.556007954576
477,-13203.50555551475
478,-12840.379424415192
479,-13343.556007954576
480,-13022.94248996497
481,-13229.321687800451
482,-13309.043394844619
483,-13349.556007954576
484,-13141.59998075628
485,-13351.556007954576
486,-13345.556007954576
487,-12759.77736883246
488,-13347.556007954576
489,-13345.556007954576
490,-13347.556007954576
491,-13347.556007954576
492,-12878.892037525153
493,-13156.480329294836
494,-13282.530781734662
495,-12949.917263745061
496,-13313.04339484462
497,-13016.94248996497
498,-12911.404650635108
499,-13345.556007954576
500,-13242.018168624707
501,-13272.530781734662
502,-13103.967716184887
503,-13242.018168624707
504,-13234.018168624707
505,-13317.043394844619
506,-13311.043394844619
507,-13274.530781734662
508,-13174.992942404793
509,-13351.556007954576
510,-13345.556007954576
511,-12840.379424415187
512,-13353.556007954576
513,-13240.018168624707
514,-12617.303745755462
515,-13276.530781734662
516,-13351.556007954576
517,-12761.35419819528
518,-13274.530781734662
519,-13345.556007954576
520,-13132.480329294838
521,-13168.992942404793
522,-12856.195556700895
523,-13347.556007954576
524,-13274.530781734662
525,-12886.01168898659
526,-13238.018168624707
527,-13196.809074690498
528,-13156.71963221772
529,-12468.979983128569
530,-13168.992942404795
531,-13032.062141426411
532,-13345.556007954576
533,-13201.50555551475
534,-13347.556007954576
535,-13345.556007954576
536,-13164.992942404795
537,-13197.50555551475
538,-13022.942489964971
539,-13126.480329294838
540,-13236.01816862471
541,-13347.556007954576
542,-13274.530781734666
543,-13347.556007954576
544,-13067.455103074926
545,-13132.480329294838
546,-13319.043394844619
547,-13347.556007954576
548,-13353.556007954576
549,-13201.50555551475
550,-13053.455103074924
551,-13140.480329294836
552,-13278.530781734662
553,-13194.809074690495
554,-13138.480329294838
555,-13166.992942404793
556,-13234.01816862471
557,-13349.556007954576
558,-13240.018168624707
559,-13276.530781734662
560,-13353.556007954576
561,-13345.556007954576
562,-13278.530781734662
563,-13296.530781734662
564,-13355.556007954576
565,-13343.556007954576
566,-13274.018168624707
567,-13164.992942404793
568,-13061.455103074926
569,-13128.480329294838
570,-13138.480329294842
571,-13162.480329294838
572,-13199.505555514756
573,-13236.01816862471
574,-13278.530781734662
575,-13169.416113041978
576,-13278.530781734662
577,-13349.556007954576
578,-13351.556007954576
579,-13135.59998075628
580,-13270.530781734662
581,-13307.043394844619
582,-13238.018168624707
583,-13353.556007954576
584,-13087.967716184883
585,-13246.018168624707
586,-13278.530781734662
587,-13355.556007954576
588,-12559.398170996983
589,-13242.018168624707
590,-13018.942489964973
591,-13093.967716184881
592,-13309.043394844619
593,-13172.992942404797
594,-13057.455103074924
595,-13026.942489964973
596,-13091.967716184881
597,-13313.043394844619
598,-12984.429876855012
599,-13359.556007954576
600,-13110.207019107766
601,-12984.429876855012
602,-12736.384407183945
603,-13024.94248996497
604,-13347.556007954576
605,-13170.9929424048
606,-13140.480329294836
607,-13209.50555551475
608,-13192.992942404795
609,-13039.181792887852
610,-13020.94248996497
611,-13238.018168624707
612,-12986.42987685502
613,-13234.018168624707
614,-13286.530781734662
615,-13365.556007954576
616,-13091.967716184885
617,-13022.942489964973
618,-13243.50555551475
619,-13343.556007954576
620,-13238.018168624707
621,-12982.429876855012
622,-13375.556007954576
623,-13236.018168624707
624,-13113.087367646323
625,-13236.018168624707
626,-12872.892037525144
627,-13132.480329294838
628,-13345.556007954576
629,-13345.556007954576
630,-13205.505555514756
631,-13369.556007954574
632,-13315.043394844619
633,-13349.556007954576
634,-13351.556007954576
635,-13357.556007954576
636,-13164.992942404793
637,-12980.429876855014
638,-13215.505555514752
639,-13053.455103074924
640,-13138.480329294838
641,-13345.556007954576
642,-13274.530781734666
643,-13236.018168624707
644,-13236.018168624707
645,-13349.556007954576
646,-13343.556007954576
647,-13276.530781734662
648,-13240.018168624707
649,-13365.556007954576
650,-12912.25099190947
651,-13097.967716184883
652,-13160.992942404793
653,-13168.992942404797
654,-13345.556007954576
655,-13276.530781734662
656,-13161.416113041978
657,-13126.480329294838
658,-13343.556007954576
659,-13095.967716184881
660,-12730.841585085323
661,-13166.992942404793
662,-13135.78384847058
663,-13351.556007954576
664,-13347.556007954576
665,-13135.59998075628
666,-13138.48032929484
667,-13343.556007954576
668,-13311.043394844619
669,-13270.530781734662
670,-13238.018168624707
671,-13166.992942404799
672,-13274.530781734666
673,-13272.530781734666
674,-13347.556007954576
675,-13203.50555551475
676,-12965.917263745056
677,-13240.018168624707
678,-12870.89203752516
679,-13349.556007954576
680,-13095.967716184883
681,-13367.556007954576
682,-13371.556007954576
683,-13270.530781734662
684,-13345.556007954576
685,-13280.530781734662
686,-13240.018168624707
687,-13240.018168624707
688,-13061.45510307493
689,-13353.556007954576
690,-13345.556007954576
691,-13311.043394844619
692,-13234.018168624707
693,-12980.429876855018
694,-13345.556007954576
695,-13197.505555514752
696,-13164.992942404795
697,-13213.50555551475
698,-12840.37942441519
699,-13282.530781734662
700,-13343.556007954576
701,-12872.892037525151
702,-13347.556007954576
703,-12878.892037525144
704,-12931.220782920806
705,-13024.94248996497
706,-12911.404650635104
707,-13238.018168624707
708,-13186.992942404795
709,-13349.556007954576
710,-13240.018168624707
711,-13162.992942404793
712,-13236.018168624707
713,-13057.455103074928
714,-13355.556007954576
715,-13272.530781734662
716,-13252.018168624707
717,-13345.556007954576
718,-13345.556007954576
719,-13030.94248996497
720,-13209.505555514756
721,-13272.530781734662
722,-12973.733396030755
723,-12963.0369152065
724,-13272.530781734662
725,-13278.530781734662
726,-13234.018168624707
727,-13343.556007954576
728,-13094.390886822066
729,-13363.556007954576
730,-12795.866811305234
731,-13203.505555514752
732,-13347.556007954576
733,-13347.556007954576
734,-13347.556007954576
735,-13272.530781734662
736,-13274.530781734662
737,-13345.556007954576
738,-13383.556007954576
739,-13349.556007954576
740,-13168.992942404795
741,-13347.556007954576
742,-13272.530781734662
743,-13315.043394844619
744,-13359.556007954576
745,-13280.530781734662
746,-12947.917263745057
747,-12951.917263745065
748,-13168.992942404793
749,-13199.50555551475
750,-13087.967716184881
751,-13347.556007954576
752,-13343.556007954576
753,-13274.530781734662
754,-13347.556007954576
755,-13168.992942404795
756,-13309.043394844619
757,-13016.94248996497
758,-13201.50555551475
759,-13128.480329294838
760,-13236.018168624707
761,-12973.733396030755
762,-13321.043394844619
763,-13126.480329294838
764,-13347.556007954576
765,-13351.556007954576
766,-13387.043394844619
767,-13166.992942404795
768,-13248.018168624707
769,-13162.992942404799
770,-13351.556007954576
771,-13236.018168624707
772,-13028.062141426411
773,-13022.942489964977
774,-13162.992942404793
775,-13236.018168624707
776,-13236.018168624707
777,-13099.967716184881
778,-13313.043394844619
779,-13274.530781734666
780,-12978.429876855018
781,-13343.556007954576
782,-13351.556007954576
783,-12484.099634589995
784,-13284.530781734662
785,-13345.556007954576
786,-13164.992942404793
787,-13066.574754536368
788,-13250.018168624707
789,-13345.556007954576
790,-13203.50555551475
791,-13309.043394844619
792,-13276.530781734662
793,-13349.556007954576
794,-13152.296461580536
795,-13270.530781734662
796,-13274.530781734666
797,-13236.018168624707
798,-12798.289981942416
799,-13276.530781734662
800,-13311.043394844619
801,-13132.480329294845
802,-13276.530781734662
803,-13234.018168624707
804,-13020.942489964977
805,-13349.556007954576
806,-13345.556007954576
807,-13276.530781734662
808,-13124.480329294838
809,-13345.556007954576
810,-13373.556007954576
811,-12761.777368832463
812,-12990.429876855012
813,-13349.556007954576
814,-13055.455103074924
815,-13242.01816862471
816,-13347.556007954576
817,-13128.480329294845
818,-13199.50555551475
819,-13201.505555514756
820,-13313.043394844619
821,-13119.087367646323
822,-13099.967716184881
823,-13349.556007954576
824,-13347.556007954576
825,-13313.043394844619
826,-13345.556007954576
827,-12878.892037525144
828,-13166.992942404797
829,-13274.530781734662
830,-13365.556007954576
831,-13207.505555514752
832,-13347.556007954576
833,-12941.917263745061
834,-13126.480329294842
